,d17O,d18O,dD,dX,X17O,,,
1,0.239275,0.181165,0.295582,1.67258,166.235,,,
2,0.169945,0.12961,0.210712,1.19445,117.891,,,
3,0.138539,0.106442,0.173887,0.979101,96.152,,,
4,0.120147,0.0922549,0.152332,0.847173,83.4929,,,
5,0.107981,0.0824907,0.1398,0.757839,75.2963,,,
6,0.0983155,0.0751814,0.130157,0.689214,68.689,,,
7,0.0913337,0.0694336,0.123058,0.634977,64.3639,,,
8,0.0859635,0.0652861,0.118335,0.595727,60.7306,,,
9,0.0815287,0.0617275,0.114276,0.561855,57.9736,,,
10,0.0789496,0.0593793,0.111383,0.538242,56.3707,,,
11,0.0752134,0.0566262,0.108781,0.511058,54.2241,,,
13,0.0727359,0.0543054,0.106257,0.487577,53.0578,,,
15,0.0688911,0.0509768,0.103001,0.454352,51.1223,,,
16,0.0677972,0.0499575,0.101563,0.443346,50.6619,,,
17,0.0659989,0.0484546,0.100764,0.428045,49.826,,,
19,0.0636218,0.0456677,0.0991864,0.401061,49.2751,,,
21,0.0623989,0.0443814,0.0973238,0.385358,49.0366,,,
23,0.0605692,0.0422616,0.0956607,0.364783,48.6618,,,
25,0.0594623,0.0416257,0.0957888,0.355381,48.4237,,,
28,0.0587212,0.0395848,0.0948633,0.336233,48.7229,,,
30,0.0575629,0.0382194,0.094024,0.324956,48.4291,,,
33,0.0557573,0.0363983,0.0928339,0.306111,47.5943,,,
36,0.0551799,0.0351293,0.0921504,0.293693,47.6011,,,
41,0.0538321,0.0342184,0.091378,0.284939,46.567,,,
44,0.0520893,0.0325568,0.0908778,0.270591,45.54,,,
49,0.0501037,0.031232,0.0901973,0.255463,44.089,,,
53,0.0495479,0.0307077,0.0911318,0.250615,43.8997,,,
58,0.0462733,0.0290044,0.0910922,0.234653,41.1408,,,
65,0.0449252,0.0284808,0.0914176,0.226874,40.0461,,,
71,0.0431637,0.0273963,0.0933776,0.218055,38.729,,,
77,0.0427884,0.026929,0.095769,0.214758,38.1733,,,
86,0.0404962,0.0259098,0.0971647,0.202548,36.4869,,,
94,0.0394252,0.0250183,0.100438,0.193302,35.7931,,,
102,0.0372693,0.0246181,0.103493,0.188489,33.7472,,,
113,0.0346459,0.0244314,0.107365,0.182826,31.6978,,,
124,0.0337146,0.0241343,0.111024,0.177846,30.6345,,,
136,0.0324538,0.0240576,0.114419,0.173223,29.8128,,,
149,0.0303612,0.0238496,0.119181,0.168486,27.3736,,,
164,0.0299083,0.0236371,0.122932,0.165765,26.5891,,,
179,0.0282932,0.023866,0.128247,0.165443,24.5849,,,
197,0.0258444,0.0236844,0.132844,0.159841,22.4171,,,
216,0.0255718,0.0240181,0.137019,0.160759,21.5606,,,
237,0.0238581,0.0240513,0.14209,0.157467,19.6216,,,
261,0.0231393,0.0245557,0.14865,0.156735,18.2827,,,
286,0.0220648,0.0248997,0.154483,0.157951,16.7701,,,
