  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
     1,     P-678,   2022/11/16 16:55:42,           1-01,       1,       -24.011,       -45.043,      -344.252,         0.030,         24584,      -1,    0,                                      SP,                                 Priming,                 H2O, 1668618029.20,         0.264,         0.196,         0.617,         0.186,       100.169,         0.002,         0.007,         1.779,       116.905,        45.156,         1.178,        93.032,         1.051,         2.689,       -0.0000,       -0.0000,    0,        44.000,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     2,     P-678,   2022/11/16 17:04:39,           1-01,       2,       -29.005,       -54.318,      -426.645,         0.054,         22343,      -1,    1,                                      SP,                                 Priming,                 H2O, 1668618555.62,         0.240,         0.196,         1.215,         0.168,       121.105,         0.001,         0.019,         1.876,       104.699,        41.878,         1.044,        81.955,         1.041,         2.892,        0.0000,       -0.0000,    0,        44.000,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     3,     P-678,   2022/11/16 17:13:36,           1-01,       3,       -29.699,       -55.590,      -440.794,         0.050,         21243,      -1,    1,                                      SP,                                 Priming,                 H2O, 1668619093.17,         0.228,         0.171,         1.309,         0.164,       118.904,         0.001,         0.021,         1.878,        98.975,        40.113,         0.979,        76.748,         1.037,         2.738,        0.0000,        0.0000,    0,        44.000,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     4,     P-678,   2022/11/16 17:22:34,           1-01,       4,       -30.062,       -56.243,      -447.394,         0.041,         20224,       0,    1,                                      SP,                                 Priming,                 H2O, 1668619629.52,         0.253,         0.187,         1.191,         0.182,       112.083,         0.002,         0.019,         1.771,        93.648,        38.269,         0.942,        73.240,         1.034,         2.808,       -0.0000,        0.0000,    0,        44.000,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     5,     P-678,   2022/11/16 17:31:30,           1-01,       5,       -30.164,       -56.471,      -450.271,         0.063,         20395,       0,    1,                                      SP,                                 Priming,                 H2O, 1668620166.44,         0.234,         0.171,         1.116,         0.168,       120.146,         0.001,         0.018,         1.887,        94.610,        38.710,         0.932,        72.992,         1.033,         2.708,       -0.0000,       -0.0000,    0,        43.938,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     6,     P-678,   2022/11/16 17:40:28,           1-01,       6,       -30.168,       -56.496,      -451.459,         0.073,         20147,       0,    1,                                      SP,                                 Priming,                 H2O, 1668620703.92,         0.224,         0.170,         1.033,         0.165,       111.549,         0.001,         0.017,         1.764,        93.323,        38.347,         0.919,        71.894,         1.031,         2.659,        0.0000,       -0.0000,    0,        44.000,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     7,     P-678,   2022/11/16 17:49:24,           1-01,       7,       -30.202,       -56.552,      -452.195,         0.070,         20176,       0,    1,                                      SP,                                 Priming,                 H2O, 1668621240.53,         0.257,         0.192,         0.914,         0.185,       114.153,         0.001,         0.015,         1.797,        93.434,        38.242,         0.931,        72.645,         1.034,         2.787,        0.0000,        0.0000,    0,        43.938,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     8,     P-678,   2022/11/16 17:58:21,           1-01,       8,       -30.242,       -56.603,      -452.773,         0.057,         20393,       0,    1,                                      SP,                                 Priming,                 H2O, 1668621777.30,         0.227,         0.160,         0.910,         0.170,       114.388,         0.001,         0.015,         1.811,        94.472,        38.568,         0.948,        74.054,         1.033,         2.900,        0.0000,       -0.0000,    0,        43.875,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
     9,     P-678,   2022/11/16 18:07:18,           1-01,       9,       -30.249,       -56.632,      -453.206,         0.066,         20265,       0,    1,                                      SP,                                 Priming,                 H2O, 1668622314.22,         0.235,         0.175,         0.840,         0.167,       114.830,         0.001,         0.013,         1.815,        93.911,        38.259,         0.939,        73.309,         1.033,         2.811,       -0.0000,        0.0000,    0,        43.938,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    10,     P-678,   2022/11/16 18:16:15,           1-01,      10,       -30.249,       -56.632,      -453.537,         0.066,         20453,       0,    1,                                      SP,                                 Priming,                 H2O, 1668622851.98,         0.250,         0.179,         0.783,         0.184,       112.145,         0.001,         0.012,         1.787,        94.821,        38.704,         0.949,        73.840,         1.034,         2.878,        0.0000,        0.0000,    0,        43.875,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    11,     P-678,   2022/11/16 18:25:13,           1-01,      11,       -30.230,       -56.621,      -453.837,         0.080,         20323,       0,    1,                                      SP,                                 Priming,                 H2O, 1668623388.77,         0.244,         0.169,         0.816,         0.184,       114.309,         0.001,         0.013,         1.806,        94.175,        38.478,         0.939,        73.407,         1.033,         2.817,       -0.0000,       -0.0000,    0,        43.875,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    12,     P-678,   2022/11/16 18:34:09,           1-01,      12,       -30.284,       -56.682,      -454.083,         0.058,         20341,       0,    1,                                      SP,                                 Priming,                 H2O, 1668623925.56,         0.234,         0.172,         0.760,         0.169,       113.284,         0.001,         0.012,         1.798,        94.236,        38.698,         0.936,        72.918,         1.034,         2.807,        0.0000,       -0.0000,    0,        43.875,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    13,     P-678,   2022/11/16 18:43:06,           1-01,      13,       -30.276,       -56.657,      -454.262,         0.052,         20396,       0,    1,                                      SP,                                 Priming,                 H2O, 1668624462.51,         0.237,         0.165,         0.742,         0.180,       113.051,         0.001,         0.011,         1.793,        94.524,        38.740,         0.938,        73.274,         1.034,         2.820,        0.0000,        0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    14,     P-678,   2022/11/16 18:52:03,           1-01,      14,       -30.275,       -56.686,      -454.474,         0.070,         20384,       0,    1,                                      SP,                                 Priming,                 H2O, 1668624999.18,         0.230,         0.169,         0.724,         0.167,       116.533,         0.001,         0.011,         1.834,        94.402,        38.517,         0.951,        74.271,         1.032,         2.963,       -0.0000,       -0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    15,     P-678,   2022/11/16 19:01:00,           1-01,      15,       -30.261,       -56.657,      -454.632,         0.067,         20153,       0,    1,                                      SP,                                 Priming,                 H2O, 1668625536.82,         0.229,         0.170,         0.685,         0.168,       110.467,         0.001,         0.011,         1.759,        93.384,        38.290,         0.914,        71.854,         1.034,         2.635,        0.0000,        0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    16,     P-678,   2022/11/16 19:09:58,           1-01,      16,       -30.240,       -56.657,      -454.802,         0.089,         20374,       0,    1,                                      SP,                                 Priming,                 H2O, 1668626073.86,         0.237,         0.185,         0.647,         0.166,       113.843,         0.001,         0.010,         1.801,        94.535,        38.647,         0.934,        72.702,         1.034,         2.668,       -0.0000,        0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    17,     P-678,   2022/11/16 19:18:55,           1-01,      17,       -30.269,       -56.686,      -454.941,         0.076,         20174,       0,    1,                                      SP,                                 Priming,                 H2O, 1668626610.41,         0.233,         0.169,         0.636,         0.169,       116.139,         0.000,         0.010,         1.826,        93.470,        38.292,         0.919,        72.185,         1.032,         2.682,       -0.0000,       -0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    18,     P-678,   2022/11/16 19:27:52,           1-01,      18,       -30.299,       -56.693,      -455.015,         0.049,         20390,       0,    1,                                      SP,                                 Priming,                 H2O, 1668627148.32,         0.244,         0.170,         0.667,         0.187,       115.545,         0.000,         0.010,         1.834,        94.528,        38.592,         0.946,        73.482,         1.032,         2.803,        0.0000,        0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    19,     P-678,   2022/11/16 19:36:50,           1-01,      19,       -30.321,       -56.734,      -455.081,         0.049,         20306,       0,    1,                                      SP,                                 Priming,                 H2O, 1668627685.58,         0.232,         0.149,         0.598,         0.179,       116.014,         0.000,         0.009,         1.833,        93.967,        38.624,         0.938,        73.282,         1.033,         2.920,        0.0000,        0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    20,     P-678,   2022/11/16 19:45:47,           1-01,      20,       -30.271,       -56.696,      -455.250,         0.080,         20420,       0,    1,                                      SP,                                 Priming,                 H2O, 1668628222.76,         0.251,         0.194,         0.599,         0.176,       115.666,         0.001,         0.009,         1.810,        94.723,        38.673,         0.940,        73.362,         1.036,         2.772,       -0.0000,       -0.0000,    0,        43.875,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    21,     P-678,   2022/11/16 19:54:44,           1-01,      21,       -30.354,       -56.778,      -455.308,         0.039,         20139,       0,    1,                                      SP,                                 Priming,                 H2O, 1668628760.31,         0.234,         0.167,         0.616,         0.181,       115.641,         0.001,         0.009,         1.815,        93.172,        38.157,         0.934,        72.884,         1.031,         2.872,       -0.0000,        0.0000,    0,        43.812,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
    22,     P-678,   2022/11/16 20:03:43,           1-01,      22,       -30.281,       -56.699,      -455.469,         0.070,         20128,       0,    1,                                      SP,                                 Priming,                 H2O, 1668629299.06,         0.234,         0.172,         0.571,         0.168,       111.632,         0.001,         0.009,         1.768,        93.252,        38.168,         0.924,        72.050,         1.033,         2.723,       -0.0000,        0.0000,    0,        43.875,         1,       1,       1,Baptiste_20000ppm_O17,       0,       1
